"worldbank_code","country","year","yrcurnt_corrected"
"AUS","Australia",1998,0
"AUT","Austria",1975,0
"AUT","Austria",1976,4
"AUT","Austria",1977,3
"AUT","Austria",1978,2
"AUT","Austria",1979,0
"AUT","Austria",1980,4
"AUT","Austria",1981,3
"AUT","Austria",1982,2
"AUT","Austria",1983,0
"AUT","Austria",1984,4
"AUT","Austria",1985,3
"AUT","Austria",1986,0
"AUT","Austria",1987,4
"AUT","Austria",1988,3
"AUT","Austria",1989,2
"AUT","Austria",1990,0
"AUT","Austria",1991,4
"AUT","Austria",1992,3
"AUT","Austria",1993,2
"AUT","Austria",1994,0
"AUT","Austria",1995,0
"AUT","Austria",1996,4
"AUT","Austria",1997,3
"AUT","Austria",1998,2
"AUT","Austria",1999,0
"AUT","Austria",2000,4
"AUT","Austria",2001,3
"AUT","Austria",2002,0
"AUT","Austria",2003,4
"AUT","Austria",2004,3
"AUT","Austria",2005,2
"AUT","Austria",2006,0
"AUT","Austria",2007,4
"AUT","Austria",2008,0
"AUT","Austria",2009,4
"AUT","Austria",2010,3
"AUT","Austria",2011,2
"AUT","Austria",2012,1
"AUT","Austria",2013,0
"BEL","Belgium",1977,0
"BEL","Belgium",2010,0
"BEL","Belgium",2011,3
"BEL","Belgium",2012,2
"BEL","Belgium",2013,1
"BGR","Bulgaria",1990,0
"BGR","Bulgaria",1991,0
"BGR","Bulgaria",1992,3
"BGR","Bulgaria",1993,2
"BGR","Bulgaria",1994,0
"BGR","Bulgaria",1995,3
"BGR","Bulgaria",1996,2
"BGR","Bulgaria",1997,0
"BGR","Bulgaria",1998,3
"BGR","Bulgaria",1999,2
"BGR","Bulgaria",2000,1
"BGR","Bulgaria",2001,0
"BGR","Bulgaria",2002,3
"BGR","Bulgaria",2003,2
"BGR","Bulgaria",2004,1
"BGR","Bulgaria",2005,0
"BGR","Bulgaria",2006,3
"BGR","Bulgaria",2007,2
"BGR","Bulgaria",2008,1
"BGR","Bulgaria",2009,0
"BGR","Bulgaria",2010,3
"BGR","Bulgaria",2011,2
"BGR","Bulgaria",2012,1
"BGR","Bulgaria",2013,0
"BGR","Bulgaria",2014,0
"CAN","Canada",1980,0
"CAN","Canada",1984,0
"CAN","Canada",1988,0
"CAN","Canada",2000,0
"CAN","Canada",2001,3
"CAN","Canada",2002,2
"CAN","Canada",2003,1
"CAN","Canada",2004,0
