country,year,yrcurnt_gov
Austria,1975,0
Austria,1976,4
Austria,1977,3
Austria,1978,2
Austria,1979,0
Austria,1980,4
Austria,1981,3
Austria,1982,2
Austria,1983,0
Austria,1984,4
Austria,1985,3
Austria,1986,0
Austria,1987,4
Austria,1988,3
Austria,1989,2
Austria,1990,0
Austria,1991,4
Austria,1992,3
Austria,1993,2
Austria,1994,0
Austria,1995,0
Austria,1996,4
Austria,1997,3
Austria,1998,2
Austria,1999,0
Austria,2000,4
Austria,2001,3
Austria,2002,0
Austria,2003,4
Austria,2004,3
Austria,2005,2
Austria,2006,0
Austria,2007,4
Austria,2008,0
Austria,2009,4
Austria,2010,3
Austria,2011,2
Austria,2012,1
Austria,2013,0
Belgium,2010,0
Belgium,2011,3
Belgium,2012,2
Belgium,2013,1
Denmark,2001,0
Denmark,2002,3
Denmark,2003,2
Denmark,2004,1
Denmark,2005,0
Denmark,2006,3
Denmark,2007,0
Denmark,2008,3
Denmark,2009,2
Denmark,2010,1
Denmark,2011,0
Denmark,2012,3
Denmark,2013,2
Greece,2004,0
Greece,2005,3
Greece,2006,2
Greece,2007,0
Greece,2008,3
Greece,2009,0
Greece,2010,3
Greece,2011,2
Greece,2012,0
Greece,2013,3
Ireland,2011,0
Ireland,2012,4
Ireland,2013,3
Lithuania,1992,0
Lithuania,1993,3
Lithuania,1994,2
Lithuania,1995,1
Lithuania,1996,0
Lithuania,1997,3
Lithuania,1998,2
Lithuania,1999,1
Lithuania,2000,0
Lithuania,2001,3
Lithuania,2002,2
Lithuania,2003,1
Lithuania,2004,0
Lithuania,2005,3
Lithuania,2006,2
Lithuania,2007,1
Lithuania,2008,0
Lithuania,2009,3
Lithuania,2010,2
Lithuania,2011,1
Lithuania,2012,0
Lithuania,2013,3
Latvia,2002,0
Latvia,2003,3
Latvia,2004,2
Latvia,2005,1
Latvia,2006,0
Latvia,2007,3
Latvia,2008,2
Latvia,2009,1
Latvia,2010,0
Latvia,2011,0
Latvia,2012,3
Latvia,2013,2
Netherlands,2002,0
Netherlands,2003,0
Netherlands,2004,3
Netherlands,2005,2
Netherlands,2006,0
Netherlands,2007,3
Netherlands,2008,2
Netherlands,2009,1
Netherlands,2010,0
Netherlands,2011,3
Netherlands,2012,0
Netherlands,2013,3
Slovenia,1992,0
Slovenia,1993,3
Slovenia,1994,2
Slovenia,1995,1
Slovenia,1996,0
Slovenia,1997,3
Slovenia,1998,2
Slovenia,1999,1
Slovenia,2000,0
Slovenia,2001,3
Slovenia,2002,2
Slovenia,2003,1
Slovenia,2004,0
Slovenia,2005,3
Slovenia,2006,2
Slovenia,2007,1
Slovenia,2008,0
Slovenia,2009,3
Slovenia,2010,2
Slovenia,2011,0
Slovenia,2012,3
Slovenia,2013,2
Estonia,1992,0
Estonia,1993,3
Estonia,1994,2
Estonia,1995,0
Estonia,1996,3
Estonia,1997,2
Estonia,1998,1
Estonia,1999,0
Estonia,2000,3
Estonia,2001,2
Estonia,2002,1
Estonia,2003,0
Estonia,2004,3
Estonia,2005,2
Estonia,2006,1
Estonia,2007,0
Estonia,2008,3
Estonia,2009,2
Estonia,2010,1
Estonia,2011,0
Estonia,2012,0
Estonia,2013,0
Germany,2002,0
Germany,2003,3
Germany,2004,2
Germany,2005,0
Germany,2006,3
Germany,2007,2
Germany,2008,1
Germany,2009,0
Germany,2010,3
Germany,2011,2
Germany,2012,1
Germany,2013,0
Italy,2006,0
Italy,2007,4
Italy,2008,0
Italy,2009,4
Italy,2010,3
Italy,2011,2
Italy,2012,1
Italy,2013,0
Romania,2004,0
Romania,2005,3
Romania,2006,2
Romania,2007,1
Romania,2008,0
Romania,2009,3
Romania,2010,2
Romania,2011,1
Romania,2012,0
Romania,2013,3
Slovakia,2010,0
Slovakia,2011,3
Slovakia,2012,0
Slovakia,2013,3
Spain,1989,0
Spain,1990,3
Spain,1991,2
Spain,1992,1
Spain,1993,0
Spain,1994,3
Spain,1995,2
Spain,1996,0
Spain,1997,3
Spain,1998,2
Spain,1999,1
Spain,2000,0
Spain,2001,3
Spain,2002,2
Spain,2003,1
Spain,2004,0
Spain,2005,3
Spain,2006,2
Spain,2007,1
Spain,2008,0
Spain,2009,3
Spain,2010,2
Spain,2011,0
Spain,2012,3
Spain,2013,2
Portugal,1976,0
Portugal,1977,3
Portugal,1978,2
Portugal,1979,0
Portugal,1980,0
Portugal,1981,3
Portugal,1982,2
Portugal,1983,0
Portugal,1984,3
Portugal,1985,0
Portugal,1986,3
Portugal,1987,0
Portugal,1988,3
Portugal,1989,2
Portugal,1990,1
Portugal,1991,0
Portugal,1992,3
Portugal,1993,2
Portugal,1994,1
Portugal,1995,0
Portugal,1996,3
Portugal,1997,2
Portugal,1998,1
Portugal,1999,0
Portugal,2000,3
Portugal,2001,2
Portugal,2002,0
Portugal,2003,3
Portugal,2004,2
Portugal,2005,0
Portugal,2006,3
Portugal,2007,2
Portugal,2008,1
Portugal,2009,0
Portugal,2010,3
Portugal,2011,0
Portugal,2012,3
Portugal,2013,2
